crs,codigo_municipio,nome_municipio,doses_destinadas,doses_aplicadas,primeira_dose,segunda_dose,dose_unica,nao_residentes,populacao_geral,pelo_menos_uma_dose,esquema_vacinal_completo
2,431449,Pinheirinho do Vale,5361,4610,3193,1302,115,447,4871,3117,1347
2,431470,Planalto,13373,11125,7050,3849,226,1000,10084,7200,4030
2,431590,Rodeio Bonito,7023,6740,4432,2159,149,195,5867,5045,2496
2,432020,Seberi,12137,11753,7777,3723,253,1214,10750,7781,3923
2,432132,Taquaruçu do Sul,3670,3746,2304,1367,75,189,3072,2549,1513
2,432140,Tenente Portela,17264,16870,9952,6598,320,589,13485,10773,7088
2,432147,Tiradentes do Sul,7110,6361,3897,2345,119,333,5704,4000,2424
2,432190,Três Passos,29569,26912,17866,8312,734,220,23906,20120,9743
2,432310,Vicente Dutra,5291,4670,3074,1486,110,560,4670,3134,1594
2,432350,Vista Alegre,3202,3078,2029,992,57,202,2752,2167,1085
2,432370,Vista Gaúcha,3254,3041,2038,923,80,316,2851,2041,1005
3,430063,Amaral Ferrador,7423,4544,3270,1108,166,646,7031,3305,1214
3,430107,Arroio do Padre,3489,3075,2044,951,80,311,2937,2224,1010
3,430130,Arroio Grande,20190,18549,11968,6166,415,1421,18293,13394,6834
3,430450,Canguçu,62532,55303,37391,16632,1280,3677,56045,39560,18036
3,430466,Capão do Leão,26784,22632,15744,6365,523,5262,25354,16352,6827
3,430512,Cerrito,7612,7017,4429,2436,152,993,6091,4593,2465
3,430543,Chuí,4950,3670,2266,1248,156,1046,6704,2081,1157
3,430605,Cristal,8864,7661,4686,2798,177,761,8009,5282,3055
3,430710,Herval,7807,7124,4589,2371,164,615,6821,5068,2640
3,431100,Jaguarão,32837,28537,19329,8587,621,4082,26680,18125,8536
3,431245,Morro Redondo,8397,7735,4876,2703,156,1120,6568,5389,2932
3,431417,Pedras Altas,3102,2743,1876,813,54,684,1982,1661,767
3,431420,Pedro Osório,8984,7376,4964,2237,175,857,7730,5803,2658
